epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8979,1.16381,3.85014,1.49946,0.00695,0.16667,0.06773,0.0482,0.83265,4.34616,1.41848,0,0,0
2,22.9339,1.33074,4.32613,1.76967,0.1217,0.27154,0.13398,0.09539,0.78448,4.2424,1.37805,1.63399e-05,1.63399e-05,1.63399e-05
3,32.6011,1.10488,3.67634,1.45106,0.20357,0.83333,0.36957,0.26344,0.7154,3.92251,1.30146,3.20197e-05,3.20197e-05,3.20197e-05
4,42.2848,1.19464,2.97213,1.66014,0.37511,0.46689,0.51741,0.4461,0.59036,3.51189,1.1893,4.70394e-05,4.70394e-05,4.70394e-05
5,51.448,1.09244,2.45376,1.47862,0.93675,0.49264,0.65086,0.59356,0.51713,3.20128,1.13849,6.13989e-05,6.13989e-05,6.13989e-05
6,60.6353,0.91191,1.91771,1.26135,0.60728,0.66667,0.67558,0.59198,0.47928,3.56122,1.14159,7.50984e-05,7.50984e-05,7.50984e-05
7,69.6409,1.07232,2.06851,1.54762,0.52672,0.66667,0.6725,0.61008,0.43754,4.04268,1.1205,8.81376e-05,8.81376e-05,8.81376e-05
8,79.2352,0.80628,1.63557,1.26716,0.3505,0.66667,0.55519,0.49799,0.44679,5.03421,1.13374,0.000100517,0.000100517,0.000100517
9,90.2736,0.67511,1.4872,1.25121,0.6642,0.66667,0.63325,0.56802,0.44648,7.05544,1.1281,0.000112236,0.000112236,0.000112236
10,101.681,0.71245,1.36919,1.12329,0.55775,0.66667,0.56237,0.51083,0.39955,7.97432,1.05291,0.000123295,0.000123295,0.000123295
11,113.915,0.69769,1.22363,1.13322,0.63644,0.66667,0.786,0.7276,0.37674,7.75797,1.02709,0.000133693,0.000133693,0.000133693
12,126.289,0.73208,1.24307,1.13449,0.55014,0.81951,0.78325,0.72736,0.38239,7.31031,1.00045,0.000143432,0.000143432,0.000143432
13,138.037,0.65425,1.25415,1.13624,0.71996,0.82304,0.77051,0.71881,0.39775,5.84014,1.02267,0.00015251,0.00015251,0.00015251
14,148.787,0.65807,1.32829,1.1461,0.73299,0.8241,0.76902,0.70992,0.43306,4.57047,1.03186,0.000160929,0.000160929,0.000160929
15,158.701,0.61284,1.1766,1.09847,0.74563,0.82719,0.8025,0.74101,0.45786,3.67041,1.06399,0.000168687,0.000168687,0.000168687
16,168.965,0.66375,1.16936,1.11462,0.61165,1,0.8465,0.79533,0.45093,2.84125,1.09444,0.000175785,0.000175785,0.000175785
17,178.836,0.65947,1.06314,1.14113,0.52025,1,0.797,0.74748,0.46392,2.52611,1.14733,0.000182223,0.000182223,0.000182223
18,188.811,0.58793,0.94962,1.06979,0.52025,1,0.797,0.74748,0.46392,2.52611,1.14733,0.000188001,0.000188001,0.000188001
19,198.636,0.5756,0.85191,1.02439,0.52614,0.83333,0.7365,0.66406,0.53554,2.74781,1.18736,0.000193119,0.000193119,0.000193119
20,208.562,0.71309,1.12109,1.25185,0.52614,0.83333,0.7365,0.66406,0.53554,2.74781,1.18736,0.000197576,0.000197576,0.000197576
21,218.466,0.56126,0.81412,0.97025,0.64814,0.66667,0.63108,0.54942,0.53838,3.01631,1.17662,0.000201374,0.000201374,0.000201374
22,228.123,0.60434,0.87083,1.10631,0.64814,0.66667,0.63108,0.54942,0.53838,3.01631,1.17662,0.000204511,0.000204511,0.000204511
23,237.586,0.5954,1.04877,1.13309,0.46084,0.66185,0.50033,0.42004,0.54828,2.55591,1.21281,0.000206988,0.000206988,0.000206988
24,247.586,0.54852,0.91673,1.08191,0.46084,0.66185,0.50033,0.42004,0.54828,2.55591,1.21281,0.000208805,0.000208805,0.000208805
25,257.08,0.48431,0.98628,0.97412,0.4276,0.75787,0.46951,0.37096,0.53738,2.49215,1.15069,0.000209962,0.000209962,0.000209962
26,267.048,0.60214,0.86733,1.09644,0.4276,0.75787,0.46951,0.37096,0.53738,2.49215,1.15069,0.000210459,0.000210459,0.000210459
27,276.923,0.74042,0.99152,1.16989,0.4439,0.83333,0.4975,0.40993,0.53431,2.67345,1.11976,0.000210295,0.000210295,0.000210295
28,286.13,0.49086,0.70248,1.03932,0.4439,0.83333,0.4975,0.40993,0.53431,2.67345,1.11976,0.000209472,0.000209472,0.000209472
29,296.455,0.56284,0.82636,1.05077,0.51397,0.9823,0.631,0.54925,0.40087,2.17643,0.97854,0.000207988,0.000207988,0.000207988
30,306.583,0.5898,0.93797,1.03272,0.51397,0.9823,0.631,0.54925,0.40087,2.17643,0.97854,0.000205844,0.000205844,0.000205844
31,317.626,0.55671,0.7944,0.98949,0.52016,0.99293,0.731,0.69975,0.37965,1.85402,0.97755,0.000203041,0.000203041,0.000203041
32,327.709,0.49333,0.90355,1.04513,0.52016,0.99293,0.731,0.69975,0.37965,1.85402,0.97755,0.000199577,0.000199577,0.000199577
